compound_id,base_rdkit_smiles,relation,avg_pIC50
CHEMBL1994074,Brc1ccc2[nH]nc(-c3ccccc3)c2c1,<,5.100000128334196
CHEMBL1995172,Brc1ccc2c(c1)-c1[nH]ncc1C2,<,5.100000128334196
CHEMBL203006,Brc1cccc(-c2cc(NCc3ccncc3)n3ncnc3n2)c1,,5.055517327849832
CHEMBL195831,Brc1cnc(Nc2ccc(Oc3cccnc3)cc2)nc1Nc1ccc2[nH]cnc2c1,,6.605548319173784
CHEMBL365554,Brc1cnc(Nc2ccc3[nH]ccc3c2)nc1Nc1ccc2[nH]ccc2c1,<,6.0
CHEMBL362967,Brc1cnc(Nc2ccc3[nH]cnc3c2)nc1NC1CCCc2ccccc21,,6.406713932979542
CHEMBL370485,Brc1cnc(Nc2ccc3[nH]cnc3c2)nc1NC1CCc2ccccc21,,7.468521082957745
CHEMBL194032,Brc1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccc(Oc2cccnc2)cc1,,7.468521082957745
CHEMBL372503,Brc1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccc2[nH]cnc2c1,,7.853871964321762
CHEMBL372465,Brc1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccc2c(c1)OCO2,,8.045757490560675
CHEMBL1992634,Brc1cnc2[nH]cc(-c3ccccc3)c2c1,,6.399996913372259
CHEMBL3644028,C#CCOc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F,,6.886056647693163
CHEMBL3644025,C#CCS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(O[C@H](C)C(C)(C)O)n2)cc1,,7.086186147616283
CHEMBL1972250,C#Cc1cc2c(cc1OC)-c1[nH]nc(-c3ccc(C#N)nc3)c1C2,<,5.100000128334196
CHEMBL598797,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,<,4.522878745280337
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,<,4.522878745280337
CHEMBL2087361,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,<,4.522878745280337
CHEMBL4074015,C#Cc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc2[nH]cnc12,,5.017728766960431
CHEMBL4094562,C#Cc1nc(Nc2ccccc2)nc2[nH]cnc12,,4.393618634889395
CHEMBL207544,C#Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1,,5.309803919971486
CHEMBL3953845,C(=C/c1n[nH]c2cc(-c3ccnc4[nH]ccc34)ccc12)\c1ccccc1,,7.3872161432802645
CHEMBL3930293,C(=C/c1n[nH]c2cc(-c3ccncc3)ccc12)\c1ccc2c(c1)OCO2,,7.180456064458132
CHEMBL3979164,C(=C/c1n[nH]c2cc(-c3ccncc3)ccc12)\c1ccccc1,,6.651695136951839
CHEMBL3894999,C(=N/n1cccc1)\c1n[nH]c2cc(-c3ccncc3)ccc12,,6.835647144215563
CHEMBL535331,C(=NNc1nc2ccccc2[nH]1)c1c[nH]c2ccccc12,<,5.100000128334196
CHEMBL411887,C/C(Nc1ccc(S(N)(=O)=O)cc1)=C1/C(=O)Nc2ccc(-c3cnco3)cc21,,8.148741651280925
CHEMBL412097,C/C(Nc1ccc(S(N)(=O)=O)cc1)=C1/C(=O)Nc2ccc(Cl)cc21,,6.657577319177793
CHEMBL405042,C/C(Nc1ccc(S(N)(=O)=O)cc1)=C1/C(=O)Nc2ccccc21,,5.638272163982407
CHEMBL228043,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,<,3.3010299956639813
CHEMBL2035187,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,<,4.522878745280337
CHEMBL3545154,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,<,4.522878745280337
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,<,4.522878745280337
CHEMBL3991931,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,<,4.522878745280337
CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,<,4.522878745280337
CHEMBL2138625,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,<,4.522878745280337
CHEMBL31965,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,<,4.522878745280337
CHEMBL5288241,C=CC(=O)Nc1ccc(C(=O)Nc2n[nH]c3ccc(-c4cncc(NC[C@@H](O)c5ccccc5)c4)cc23)cc1,,5.471726222832956
CHEMBL3545308,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,<,4.522878745280337
CHEMBL411907,C=CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)C(=O)CC[C@@H]12)CC=C,<,4.522878745280337
CHEMBL336117,C=CCN(C)c1nc(I)nc2c1ncn2C,,4.7447274948966935
CHEMBL131031,C=CCN(C)c1nc(I)nc2c1ncn2C(C)C,,4.958607314841775
CHEMBL129973,C=CCN(C)c1nc(NCCO)nc2c1ncn2C,,3.3279021420642825
CHEMBL336176,C=CCN(C)c1nc(NCCO)nc2c1ncn2C(C)C,,3.8239087409443187
CHEMBL3644030,C=CCOc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F,,6.552841968657781
CHEMBL3644023,C=CCS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(O[C@H](C)C(C)(C)O)n2)cc1,,7.366531544420414
CHEMBL1976040,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,<,4.522878745280337
CHEMBL99280,C=CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,,4.221848749616356
CHEMBL89013,C=COCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1,<,3.0
CHEMBL89292,C=COCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1,<,3.0
CHEMBL86560,C=COCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1,<,3.0
CHEMBL89650,C=COCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1,<,3.0
CHEMBL86791,C=COCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1,<,3.0
CHEMBL3648099,C=S(N)(=O)c1ccc(Nc2ncc(Br)c(N[C@H](C)CO)n2)cc1,,7.102372908709558
CHEMBL1991728,CC(=NNC(=N)N)c1cc(NC(=O)NCCCCCCNC(=O)Nc2cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c2)cc(C(C)=NNC(=N)N)c1,,6.199998172182031
CHEMBL1993166,CC(=NNC(=N)N)c1cc(NC(=O)NCCCN(C)CCCNC(=O)Nc2cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c2)cc(C(C)=NNC(=N)N)c1,,5.899998417198648
CHEMBL2000685,CC(=NNC(=N)N)c1cc(NC(=O)c2cccc(C(=O)Nc3cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c3)c2)cc(C(C)=NNC(=N)N)c1,,6.799998134593398
CHEMBL1890036,CC(=NNC(=O)c1nnn(-c2nonc2N)c1-c1ccccc1)c1ccco1,<,5.100000128334196
CHEMBL3691570,CC(=O)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2,<,4.823908740944319
CHEMBL3691551,CC(=O)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCCCC5)c4n3)nc1)C2,<,4.823908740944319
CHEMBL1986781,CC(=O)N1CCC(Nc2nccc(-c3c(-c4ccc(F)cc4)nc4occn34)n2)CC1,<,5.100000128334196
CHEMBL3823659,CC(=O)N1CCC(n2cc(Nc3ncc(Cl)c(-c4cnc5ccccn45)n3)cn2)CC1,,7.180456064458132
CHEMBL1972584,CC(=O)N1CCN(C2CCC(n3nc(-c4ccc(NC(=O)c5cc6ccccc6n5C)cc4)c4c(N)ncnc43)CC2)CC1,,5.800000874803203
CHEMBL3658048,CC(=O)N1CCN(Cc2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc2)CC1,<,4.823908740944319
CHEMBL3654238,CC(=O)N1CCN(c2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc2)CC1,<,4.823908740944319
CHEMBL1083786,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(C)nc4C)n3)cc2)CC1,,5.722620025332746
CHEMBL1084969,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(N)nc4C)n3)cc2)CC1,<,5.0
CHEMBL5176826,CC(=O)N1N=C(c2c(O)c3ccccc3oc2=O)CC1c1ccccc1Cl,,9.455931955649724
CHEMBL3691675,CC(=O)N1[C@@H]2CC[C@H]1CN(c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C(=O)C2,<,4.823908740944319
CHEMBL1975208,CC(=O)NC1CCN(c2nc3[nH]cc(C(=O)O)c(=O)c3c(C)c2F)C1,<,5.100000128334196
CHEMBL3691674,CC(=O)NCC(=O)N1[C@@H]2CC[C@H]1CN(c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C(=O)C2,<,4.823908740944319
CHEMBL1964243,CC(=O)NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,,6.040958607678906
CHEMBL4462530,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(Cl)cn2)C1,,6.431798275933005
CHEMBL1973142,CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12,,6.0999990348465305
CHEMBL2002240,CC(=O)Nc1cc(N)c(C#N)c(-c2ccc3ccccc3c2)n1,<,5.100000128334196
CHEMBL210032,CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1,<,5.050609993355087
CHEMBL2006567,CC(=O)Nc1cc(N)c(C#N)c(-c2ccsc2)n1,<,5.100000128334196
CHEMBL2103875,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,<,4.522878745280337
CHEMBL1988608,CC(=O)Nc1cccc(CNc2c(Nc3ccc4[nH]ncc4c3)c(=O)c2=O)c1,,6.299997602857746
CHEMBL189963,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,<,4.522878745280337
CHEMBL2000568,CC(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1,,5.40000018605658
CHEMBL3688339,CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,,6.540607512240769
CHEMBL3658083,CC(C(=O)O)N1CCN(c2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc2)CC1,<,4.823908740944319
CHEMBL1967720,CC(C)(C(N)=O)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,<,5.100000128334196
CHEMBL1236126,CC(C)(C)C(=O)Oc1ccc2c(c1)nc(NC(=O)c1cccc([N+](=O)[O-])c1)n2CCCO,<,5.100000128334196
CHEMBL1969264,CC(C)(C)NC(=O)c1ccc2nc3[nH]c4ccccc4c3nc2c1,,5.700000503883016
CHEMBL100485,CC(C)(C)OC(=O)C1C(=O)N(C(=O)OC(C)(C)C)c2ccccc2-c2[nH]c3ccc(Br)cc3c21,,4.096910013008056
CHEMBL420455,CC(C)(C)OC(=O)C1C(=O)N(C(=O)OC(C)(C)C)c2ccccc2-c2c1c1cc(Br)ccc1n2C(=O)OC(C)(C)C,,3.8239087409443187
CHEMBL317562,CC(C)(C)OC(=O)N1C(=O)Cc2c(n(C(=O)OC(C)(C)C)c3ccc(Br)cc23)-c2ccccc21,,3.0
CHEMBL1095627,CC(C)(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(N)cc4)nc32)CC1,<,4.301029995663981
CHEMBL420885,CC(C)(C)OC(=O)Nc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,<,4.0
CHEMBL120703,CC(C)(C)OC(=O)Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,,4.2441251443275085
CHEMBL100312,CC(C)(C)OC(=O)n1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,,4.154901959985743
CHEMBL1975357,CC(C)(C)OC(=O)n1cc(-c2cncn2C2CCCCC2)c2ccccc21,<,5.100000128334196
CHEMBL2005548,CC(C)(C)OC(=O)n1ncc2cc(Nc3c(NCc4ccc(Cl)cc4Cl)c(=O)c3=O)ccc21,<,5.100000128334196
CHEMBL1969506,CC(C)(C)OC(=O)n1ncc2cc(Nc3c(NCc4ccc(S(N)(=O)=O)cc4)c(=O)c3=O)ccc21,<,5.100000128334196
CHEMBL576982,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,<,4.522878745280337
CHEMBL1979855,CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)NCC#N)c2)n1,<,5.100000128334196
CHEMBL271777,CC(C)(C)c1ccc2c(c1)NC(=O)/C2=N\Nc1ccc(S(N)(=O)=O)cc1,<,5.0
CHEMBL1970104,CC(C)(C)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1,,6.399996913372259
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,,6.182773052814558
CHEMBL2004447,CC(C)(C)c1n[nH]c2c1C(c1ccccc1F)C(C#N)=C(N)O2,<,5.100000128334196
CHEMBL2028663,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,,6.438898616350944
CHEMBL234699,CC(C)(C)c1nc(Nc2ccc(CCO)cc2)ncc1C#N,,5.958607314841775
CHEMBL3085246,CC(C)(C)n1cnc2c(NCc3ccccc3)nc(N3CCC[C@@H]3CO)nc21,,5.0
CHEMBL410072,CC(C)(CO)CNC(=O)c1ccc2c(c1)/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,,7.221848749616356
CHEMBL1991800,CC(C)(CO)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3c(CC4CC4)nccn23)n1,<,5.100000128334196
CHEMBL1982383,CC(C)(CO)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3c(CCN)nccn23)n1,<,5.100000128334196
CHEMBL1969735,CC(C)(CO)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3c(Cl)nccn23)n1,<,5.100000128334196
CHEMBL2001957,CC(C)(CO)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3c(OCC(F)(F)F)nccn23)n1,<,5.100000128334196
CHEMBL1991395,CC(C)(CO)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3cnccn23)n1,<,5.100000128334196
CHEMBL1996587,CC(C)(CO)c1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4n3CCC4)nn12,<,5.100000128334196
CHEMBL1972849,CC(C)(CO)c1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4occn34)nn12,<,5.100000128334196
CHEMBL233208,CC(C)(N)c1ccc(-c2nc(Nc3ccc(CCN4CCCC4)cc3)ncc2Cl)cc1,,6.092588639225414
CHEMBL231800,CC(C)(N)c1ccc(-c2nc(Nc3ccc(CCN4CCOCC4)cc3)ncc2C#N)cc1,,5.3872161432802645
CHEMBL233209,CC(C)(N)c1ccc(-c2nc(Nc3ccc(CCN4CCOCC4)cc3)ncc2Cl)cc1,,5.557520230935552
CHEMBL243017,CC(C)(N)c1ccc(-c2nc(Nc3ccc(CCO)cc3)ncc2C#N)cc1,,5.795880017344075
CHEMBL233205,CC(C)(N)c1ccc(-c2nc(Nc3ccc(CCO)cc3)ncc2Cl)cc1,,6.16304326294045
CHEMBL234944,CC(C)(N)c1ccc(-c2nc(Nc3ccc(OCCN4CCOCC4)cc3)ncc2C#N)cc1,,4.6777807052660805
CHEMBL234443,CC(C)(N)c1ccc(-c2nc(Nc3cccc(Br)c3)ncc2Cl)cc1,,5.982966660701219
CHEMBL231801,CC(C)(N)c1ccc(-c2nc(Nc3cccc(CCN4CCOCC4)c3)ncc2C#N)cc1,,5.2441251443275085
CHEMBL1614725,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,<,4.522878745280337
CHEMBL2403089,CC(C)(O)CNc1nc(NCc2ccc(-c3ccco3)cc2)c2ncn(C3CCCC3)c2n1,<,6.000434511774017
CHEMBL2403099,CC(C)(O)CNc1nc(NCc2ccc(-c3ccco3)nc2)c2ncn(C3CCCC3)c2n1,,6.255707016877324
CHEMBL1994040,CC(C)(O)CNc1nccc(-c2c(-c3ccc(F)cc3F)nc3c(CC4CC4)nccn23)n1,<,5.100000128334196
CHEMBL3648128,CC(C)(O)CSc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,,7.259637310505756
CHEMBL1976732,CC(C)(O)Cc1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4occn34)nn12,<,5.100000128334196
CHEMBL234697,CC(C)(O)c1ccc(-c2nc(Nc3ccc(CCO)cc3)ncc2C#N)cc1,,5.568636235841013
CHEMBL1998551,CC(C)(O)c1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4n3CCC4)nn12,<,5.100000128334196
CHEMBL1982980,CC(C)=C(C)c1cccc2c(CCCOc3cccc(Cl)c3Cl)c(C(=O)O)[nH]c12,<,5.100000128334196
CHEMBL131695,CC(C)=CCNc1nc(Cl)nc2c1ncn2C,,4.3979400086720375
CHEMBL77155,CC(C)=CCNc1nc(N)nc2c1ncn2C(C)C,,4.346787486224656
CHEMBL131382,CC(C)=CCNc1nc(NCCO)nc2c1ncn2C,,4.187086643357144
CHEMBL270544,CC(C)=Cc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,,7.823908740944319
CHEMBL84944,CC(C)C(CO)Nc1nc(NCc2cccc(O)c2)c2ncn(C(C)C)c2n1,,7.0
CHEMBL83320,CC(C)C(CO)Nc1nc(NCc2ccccc2O)c2ncn(C(C)C)c2n1,,8.0
CHEMBL103272,CC(C)C(CO)Nc1nc(Nc2cccc(Cl)c2)c2nc(Cl)n(C(C)C)c2n1,,4.886056647693163
CHEMBL1230607,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,,5.590912630552165
CHEMBL429142,CC(C)CC(=O)c1ccc2c(c1)/C(=C/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,,7.795880017344075
CHEMBL3658054,CC(C)CCCN1CCN(c2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc2)CC1,<,4.823908740944319
CHEMBL2029912,CC(C)CCn1cc(-c2cc3cnc(Nc4cc(C(=O)N5CCN(C)CC5)n(C)c4)nc3n2C2CCCC2)cn1,,5.853871964321762
CHEMBL3658076,CC(C)CN1CCN(c2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc2)CC1,<,4.823908740944319
CHEMBL269883,CC(C)COC(=O)c1ccc2c(c1)/C(=C/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,,7.721246399047171
CHEMBL563308,CC(C)COc1ccc2sc3c(c2c1)NC[C@@H](C)NC3=O,,7.958607314841775
CHEMBL192216,CC(C)COc1nc(Nc2ccc3[nH]cnc3c2)ncc1C(F)(F)F,,8.698970004336019
CHEMBL1984842,CC(C)COc1nccn2c(-c3ccnc(NCC(C)(C)CO)n3)c(-c3ccc(F)cc3)nc12,<,5.100000128334196
CHEMBL80586,CC(C)C[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,,3.275724130399211
CHEMBL1966343,CC(C)Cc1cc(-c2ccc3[nH]nc(N)c3c2)on1,,6.599997654072044
CHEMBL411224,CC(C)Cc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,,7.721246399047171
CHEMBL2004419,CC(C)Cn1c(N)nc2c(F)cc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc21,<,5.100000128334196
CHEMBL1965423,CC(C)Cn1c(N)nc2ccc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc21,<,5.100000128334196
CHEMBL2006156,CC(C)N(C(=O)Nc1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1)C(C)C,<,5.100000128334196
CHEMBL1969561,CC(C)N(C)C(=O)c1c(-c2ccc3[nH]ncc3c2)nnn1Cc1ccccc1,,7.0
CHEMBL3691572,CC(C)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2,<,4.823908740944319
CHEMBL3658065,CC(C)N1CCC(c2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc2)CC1,<,4.823908740944319
CHEMBL3658049,CC(C)N1CCN(Cc2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc2)CC1,<,4.823908740944319
CHEMBL3658050,CC(C)N1CCN(c2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc2)CC1,<,4.823908740944319
CHEMBL3658056,CC(C)N1CCN(c2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nn2)CC1,<,4.823908740944319
CHEMBL3691678,CC(C)N1[C@@H]2CC[C@H]1CN(c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C(=O)C2,<,4.823908740944319
CHEMBL2005186,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,<,5.100000128334196
CHEMBL249502,CC(C)NC(=O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,,7.4089353929735005
CHEMBL398606,CC(C)NCc1ccc(Nc2cc(-c3ccc(-c4ccc(O)cc4O)cc3)[nH]n2)cc1,,5.481486060122113
CHEMBL401064,CC(C)NCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,,7.886056647693163
CHEMBL1682553,CC(C)Nc1c(-c2ccc3[nH]ncc3c2)nc2ncccn12,,6.0
CHEMBL3590106,CC(C)Nc1cc(-c2c[nH]c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c2)c(Cl)cn1,<,4.522878745280337
CHEMBL1995391,CC(C)Nc1n[nH]c2ccc(N)cc12,<,4.70000006855703
CHEMBL3648126,CC(C)Nc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,,6.958607314841775
CHEMBL1989029,CC(C)OC1=NNC(=O)C1=Cc1c[nH]c2ccccc12,<,5.100000128334196
CHEMBL3658078,CC(C)OCCN1CCN(c2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc2)CC1,<,4.823908740944319
CHEMBL249094,CC(C)OCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,,7.00436480540245
CHEMBL1997503,CC(C)Oc1ccc(-c2noc(-c3ccc(NC4CCC(C(=O)O)C4)cc3)n2)cc1Cl,<,5.100000128334196
CHEMBL271160,CC(C)Oc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,,7.3872161432802645
CHEMBL191893,CC(C)Oc1nc(Nc2ccc3[nH]cnc3c2)ncc1C(F)(F)F,,7.6020599913279625
CHEMBL2000429,CC(C)Oc1nccn2c(-c3ccnc(NCC(C)(C)CO)n3)c(-c3ccc(F)cc3F)nc12,<,5.100000128334196
CHEMBL1984700,CC(C)Oc1nccn2c(-c3ccnc(NCC(C)(C)O)n3)c(-c3ccc(F)cc3F)nc12,<,5.100000128334196
CHEMBL3644024,CC(C)S(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(O[C@H](C)[C@@H](C)O)n2)cc1,,7.920818753952375
CHEMBL2003657,CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc21,<,5.100000128334196
CHEMBL80611,CC(C)[C@@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,,3.3010299956639813
CHEMBL3691604,CC(C)[C@@H](N)C(=O)N1C2CCC1CN(C(=O)c1ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc1)C2,,4.398918272215977
CHEMBL77119,CC(C)[C@H](CO)N(CC1CCCCC1)c1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,,2.275724130399211
CHEMBL276120,CC(C)[C@H](CO)N(Cc1ccc(F)cc1)c1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,,2.0
CHEMBL445311,CC(C)[C@H](CO)N(Cc1cccc(F)c1)c1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,,2.3010299956639813
CHEMBL80755,CC(C)[C@H](CO)N(Cc1ccccc1)c1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,,2.3010299956639813
CHEMBL3085239,CC(C)[C@H](CO)Nc1nc(NCc2ccc3c(c2)OCO3)c2ncn(C(C)C)c2n1,,7.698970004336019
CHEMBL76761,CC(C)[C@H](CO)Nc1nc(NCc2cccc(I)c2)c2ncn(C(C)C)c2n1,,3.769551078621726
CHEMBL312078,CC(C)[C@H](CO)Nc1nc(Nc2ccc(Br)cc2)c2ncn(C(C)C)c2n1,,4.3979400086720375
CHEMBL23254,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,,4.698970004336019
CHEMBL78223,CC(C)[C@H](CO)Nc1nc(Nc2ccc(Cl)c(C(=O)O)c2)c2ncn(C(C)C)c2n1,,4.522878745280337
CHEMBL311354,CC(C)[C@H](CO)Nc1nc(Nc2ccc(Cl)c(N)c2)c2ncn(C(C)C)c2n1,,1.2839966563652008
CHEMBL77262,CC(C)[C@H](CO)Nc1nc(Nc2ccc(Cl)cc2)c2ncn(C(C)C)c2n1,,4.096910013008056
CHEMBL80213,CC(C)[C@H](CO)Nc1nc(Nc2ccc(F)c(Cl)c2)c2ncn(C(C)C)c2n1,,3.4436974992327127
CHEMBL78214,CC(C)[C@H](CO)Nc1nc(Nc2ccc(N)c(Cl)c2)c2ncn(C(C)C)c2n1,,1.4814860601221125
CHEMBL74799,CC(C)[C@H](CO)Nc1nc(Nc2ccc(O)c(C(=O)O)c2)c2ncn(C(C)C)c2n1,,4.0
